Course ID,Level,Course Name,Credit Hours,Section Letters,CRNs,Days Met,Locations,Professors,Course Description,Full Text
ECE 8997,Graduate,Teaching Assistantship,3,ATL;EM;GTL,82271;87485;82538,;;,TBA;TBA;TBA,Matthieu Bloch (P);Matthieu Bloch (P);Bertrand Boussert (P),For students holding graduate teaching assistantships.,ECE 8997 Teaching Assistantship For students holding graduate teaching assistantships.
ECE 8998,Graduate,Research Assistantship,1,ATL;GTL;Q;RSZ,82277;82278;85033;93909,;;;,TBA;TBA;TBA;TBA,Matthieu Bloch (P);Bertrand Boussert (P);Matthieu Bloch (P);Wenshan Cai (P),For students holding graduate research assistantships.,ECE 8998 Research Assistantship For students holding graduate research assistantships.
ECE 8999,Graduate,Preparation for Doctoral Dissertation,1,ATL;GTL,83622;83623,;,TBA;TBA,Matthieu Bloch (P);Matthieu Bloch (P),This course is reserved for students who are actively seeking Ph.D. advisors and /or dissertation topics.,ECE 8999 Preparation for Doctoral Dissertation This course is reserved for students who are actively seeking Ph.D. advisors and /or dissertation topics.
ECE 9000,Graduate,Doctoral Thesis,1,106;301;302;308;309;310;311;314;317;320;A01;A02;A07;A08;A09;A10;A11;A12;A13;A14;A16;A17;B02;B04;B09;B11;B12;B13;B15;B16;B17;B18;B19;B20;B21;B23;B25;B27;C01;C02;C03;C05;C07;C08;C09;C10;C11;C12;C13;C14;C15;C16;C18;C19;C20;C21;D05;D06;D07;D08;D09;D10;D12;D13;D14;D15;D17;D18;E01;E02;E04;F03;F04;F07;F08;F09;G01;G03;G05;G06;G07;G08;H01;H02;H04;H05;H08;H09;H11;H12;H13;H17;H18;H20;H21;I01;I02;J04;J06;K02;K05;K06;K07;K10;K13;K14;K16;K17;L04;L05;L06;L08;L09;L10;L13;L14;M01;M04;M05;M07;M08;M10;M13;M16;M17;M18;M19;M20;M21;M22;N01;O01;O02;P02;P06;Q01;R01;R03;R05;R06;R07;R08;R09;R11;S03;S05;S06;S08;S09;S10;S11;S12;S14;S15;S16;S17;S19;S21;S22;S24;S26;S27;T01;T02;T04;T07;T10;T11;T12;T14;T15;V01;V03;V06;V07;V09;V10;V11;W01;W03;W05;W06;W09;W10;Y02;Y03;Y06;Z02;Z04;Z05;Z06;Z07;Z08;Z09,88265;81129;81089;81794;81823;81130;82644;83079;87066;85436;80576;80577;80945;80958;81002;81111;81336;83908;84471;84725;87007;89852;80579;80594;80595;80946;82479;82480;81359;81582;82481;82482;82483;82484;83241;83077;83960;85938;80596;80597;89364;80598;81105;81210;82485;81287;81288;82486;83242;83892;89947;84726;85973;86477;87503;87968;80868;81099;81320;81339;81765;82910;84334;84458;85404;87055;89664;92361;81200;81289;85446;80947;81001;82487;80603;83896;80599;81290;83078;85913;90915;91877;80600;80601;80602;80632;80604;80605;81291;81815;82026;87056;87816;92529;90963;80670;84727;81179;89354;80606;80948;81338;82396;82906;85917;86311;87239;89634;81003;81178;81209;81292;82488;82489;89709;89688;80607;80608;80609;80610;80611;80612;81214;81864;82068;82069;82490;83484;90684;93965;83052;80613;82070;80614;83413;83893;80615;80616;81188;82491;81884;82071;82667;84728;80617;80618;80619;80620;80621;80622;81009;81226;81293;81698;82492;82072;84729;84910;85415;87285;92272;94004;80623;80624;80625;81867;84817;84776;87235;90820;92385;80626;80627;82073;82074;89636;89905;94031;80628;80629;80630;82050;82493;83891;80949;82075;89854;80631;81659;82494;82495;84416;89647;94103,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA;TBA,Yorai Wardi (P);John Barry (P);Bertrand Boussert (P);David Citrin (P);Abdallah Ougazzaden (P);Paul Voss (P);Henry Owen (P);Matthieu Bloch (P);Jean Paul Salvestrini (P);Cedric Pradalier (P);Ian Akyildiz (P);Mark Allen (P);Farrokh Ayazi (P);David Anderson (P);Ali Adibi (P);Randal Abler (P);Ghassan Al-Regib (P);Ronald Arkin (P);Srinivas Aluru (P);Emmanouil Antonakakis (P);Azadeh Ansari (P);Chaouki Abdallah (P);John Barry (P);Paul Benkeser (P);Robert Butera (P);Douglas Blough (P);Thomas Brewer (P);Bertrand Boussert (P);Oliver Brand (P);Christopher Barnes (P);Benny Bing (P);Pamela Bhatti (P);Swapan Bhattacharya (P);Gisele Bennett (P);Muhannad Bakir (P);Matthieu Bloch (P);Raheem Beyah (P);Byron Boots (P);William Callen (P);Abhijit Chatterjee (P);Mark Clements (P);John Copeland (P);Giorgio Casinovi (P);David Citrin (P);Thomas Collins (P);John Cressler (P);Gee-Kung Chang (P);Edward Coyle (P);Thomas Conte (P);Wenshan Cai (P);Henrik Christensen (P);Morris Cohen (P);Sonia Chernova (P);Samuel Coogan (P);Gari Clifford (P);Vince Calhoun (P);Jeffrey Davis (P);William Doolittle (P);Russell Dupuis (P);Gregory Durgin (P);Deepak Divan (P);F. Levent Degertekin (P);Mark Davenport (P);Konstantinos Dovrolis (P);Frank Dellaert (P);Eva Dyer (P);Alexandros Daglis (P);Suman Datta (P);Magnus Egerstedt (P);Irfan Essa (P);Stanislav Emelianov (P);Albert Frazier (P);Faramarz Fekri (P);Richard Fujimoto (P);Bonnie Ferri (P);Francesco Fedele (P);Thomas Gaylord (P);Gary Gimmestad (P);Santiago Grijalva (P);Lukas Graber (P);Matthew Gombolay (P);Nima Ghalichechian (P);Thomas Habetler (P);James Hamblen (P);Jennifer Hasler (P);Monson Hayes (P);Joseph Hughes (P);William Hunt (P);Ernest Holder (P);Xiaoping Hu (P);Ayanna Howard (P);Seth Hutchinson (P);Felix Herrmann (P);Cong Hao (P);Larry Heck (P);Mary Weitnauer (P);Omer Inan (P);Chuanyi Ji (P);Biing Hwang Juang (P);David Keezer (P);James Kenney (P);Bernard Kippelen (P);Benjamin Klein (P);Hyesoon Kim (P);Tushar Krishna (P);Asif Khan (P);Zsolt Kira (P);Angelos Keromytis (P);Geoffrey Li (P);Sung Lim (P);Aaron Lanterman (P);David Hertling;Robert Lee (P);Gabriel Loh (P);Brooks Lindsey (P);Shaolan Li (P);Vijay Madisetti (P);James McClellan (P);Steven McLaughlin (P);A Meliopoulos (P);Russell Mersereau (P);Vincent Mooney (P);Linda Milor (P);Pete Manolios (P);Xiaoli Ma (P);Elliot Moore (P);Saibal Mukhopadhyay (P);Raghunath Murali (P);Daniel Molzahn (P);Vidya Muthukumar (P);Azad Naeemi (P);Henry Owen (P);Abdallah Ougazzaden (P);Andrew Peterson (P);Milos Prvulovic (P);Moinuddin Qureshi (P);Stephen Ralph (P);Ajeet Rohatgi (P);Gabriel Rincon (P);Mark Richards (P);Umakishore Ramachandran (P);Justin Romberg (P);Chrisopher Rozell (P);Arijit Raychowdhury (P);David Schimmel (P);Waymond Scott (P);Glenn Smith (P);Paul Steffes (P);Gordon Stuber (P);Madhavan Swaminathan (P);Raghupathy Sivakumar (P);William Smith (P);Thad Starner (P);Oskar Skrinjar (P);Christopher Summers (P);Shyh-Chiang Shen (P);Maryam Saeedifard (P);Le Song (P);Ali Fatih Sarioglu (P);Brendan Saltaformaggio (P);Seun Sangodoyin (P);Visvesh Sathe (P);David Taylor (P);Emmanouil Tentzeris (P);Rao Tummala (P);Lena Ting (P);Andrea Thomaz (P);Yi-Chang Tsai (P);Evangelos Theodorou (P);Panagiotis Tsiotras (P);Alexey Tumanov (P);George Vachtsevanos (P);Erik Verriest (P);Patricio Vela (P);Paul Voss (P);Christopher Valenta (P);Eric Vogel (P);Kyriakos Vamvoudakis (P);Yorai Wardi (P);Douglas Williams (P);Linda Wills (P);Dongmei Wang (P);Hongwei Wu (P);Hua Wang (P);Anthony Yezzi (P);Paul Yoder (P);Shimeng Yu (P);Guotong Zhou (P);Zhiping Zhou (P);Ying Zhang (P);Fumin Zhang (P);Alenka Zajic (P);Ye Zhao (P);Saman Zonouz (P),No course description is available.,ECE 9000 Doctoral Thesis No course description is available.
ENGL 0999,Undergraduate,Support for English Composition,3,Q,88545,MW,Stephen C Hall 005,Rachel Dean-Ruzicka (P),"This course provides support for students taking ENGL 1101, reinforces student competencies, develops language skills, and encourages reflection.","ENGL 0999 Support for English Composition This course provides support for students taking ENGL 1101, reinforces student competencies, develops language skills, and encourages reflection."
ENGL 1101,Undergraduate,English Composition I,3,A;A4;A5;A6;A9;B1;B2;B4;B9;C;C2;C3;D1;D2;D3;D4;D5;D6;D7;E2;E3;E4;E5;EX1;EX2;F;F9;G3;G6;G9;H;H1;H2;H3;H4;H5;HP;I;I2;I3;I4;J1;J2;J3;J4;K;L2;L4;L5;L6;M2;M4;N;N2;N7;N9;O3;RMZ;ROX;T1;T3;U;U2;U4;X;X2;X3;X4,93010;93023;81283;91761;85256;91762;93013;87880;80425;93024;91763;93012;92848;86918;83847;82337;91754;93028;93036;86863;91756;93018;93007;81594;84383;93026;80421;80402;89631;90745;93029;81284;92849;93038;91753;80415;81157;93030;92850;87249;93039;81592;80424;86919;92841;93025;91758;92960;80427;93017;81749;80423;93027;92816;85258;91755;81091;91573;91970;91759;93019;80426;84913;86917;81748;81750;85257;86920,MWF;MWF;MWF;MWF;MWF;MWF;MWF;MWF;MWF;MWF;MWF;MWF;TR;TR;TR;TR;TR;TR;TR;MWF;MWF;MWF;MWF;TR;TR;TR;TR;MWF;MWF;MWF;TR;TR;TR;TR;TR;TR;TR;TR;TR;TR;TR;MW;MW;MW;MW;TR;MWF;MWF;MWF;MWF;MW;MW;TR;TR;TR;TR;MW;TR;;MWF;MWF;MW;MW;MW;MW;MW;MW;MW,Clough UG Learning Commons 280;Skiles 354;Skiles 317;Swann 325;Skiles 311;Skiles 371;Stephen C Hall 103;Skiles 317;Skiles 354;Skiles 002;Skiles 371;Clough UG Learning Commons 280;Skiles 002;Stephen C Hall 106;Skiles 317;Stephen C Hall 103;Skiles 314;Stephen C Hall 102;Instructional Center 209;Skiles 370;Skiles 317;Skiles 368;D.M. Smith 11;Skiles 302;Skiles 357;Skiles 370;Stephen C Hall 106;Skiles 317;Stephen C Hall 106;Skiles 311;Stephen C Hall 103;Skiles 302;Skiles 002;Skiles 169;Skiles 311;Skiles 171;Skiles 302;Skiles 311;Skiles 314;Skiles 317;Skiles 302;Swann 325;Stephen C Hall 106;Skiles 343;Van Leer E361;Skiles 314;Stephen C Hall 103;Guggenheim Aerospace 246;Skiles 354;Skiles 370;Swann 115;Skiles 343;Stephen C Hall 102;Skiles 302;Stephen C Hall 103;Skiles 314;Skiles 169;TBA;TBA;Stephen C Hall 106;Skiles 354;Clough UG Learning Commons 125;Skiles 354;Skiles 302;Stephen C Hall 106;Clough UG Learning Commons 125;Swann 115;Skiles 308,;;;Misty Fuller (P);Paige Arrington (P);;;;Paige Arrington (P);;Misty Fuller (P);;Jessica Kim (P);;;Courtney Mullis (P);Sean Dolan (P);Shane Snyder (P);;Kevin Lucas (P);;;;Laine Pomerleau (P);Laine Pomerleau (P);Randall Harrell (P);;;Kevin Lucas (P);Paige Arrington (P);Shane Snyder (P);Jessica Rose (P);Jessica Kim (P);;Sean Dolan (P);;Laine Pomerleau (P);Shane Snyder (P);Jessica Kim (P);;;;Franziska Tsufim (P);Katherine Musick (P);;Randall Harrell (P);;;Kevin Lucas (P);;Rachel Dean-Ruzicka (P);;Courtney Mullis (P);Randall Harrell (P);;Sean Dolan (P);Rachel Dean-Ruzicka (P);Elizabeth Miller (P);Jennifer Lux (P);;;Franziska Tsufim (P);;Katherine Musick (P);Franziska Tsufim (P);;;Katherine Musick (P),Develops analytical reading and writing skills through the investigation of methods used in cultural and literary studies and the application of those methods to specific texts.,ENGL 1101 English Composition I Develops analytical reading and writing skills through the investigation of methods used in cultural and literary studies and the application of those methods to specific texts.
ENGL 1102,Undergraduate,English Composition II,3,B3;D2;E4;F6;G1;H;H1;H2;HP1;HP2;HP3;HP4;HP5;I;I2;I5;J1;J2;J5;J6;K1;K3;L4;M3;N6;N7;O1;O2;OL1;OL2;OL3;Q;RM1;RM2;ROX;T;X5,82036;92845;91999;85665;82601;82363;92846;94199;81593;83280;86877;92834;82344;82338;92847;94200;85445;83846;92833;91941;83615;86391;91998;81963;83279;81514;83487;85865;93553;93554;93961;91882;83614;90254;91971;92000;85866,MWF;TR;MWF;TR;MWF;TR;TR;TR;TR;MW;TR;MW;MW;TR;TR;TR;MW;MW;MW;MW;TR;TR;MWF;MW;TR;TR;MW;MW;;;;MW;TR;TR;;MWF;MW,Skiles 269;Weber SST III 1;Skiles 002;Skiles 314;Skiles 269;Skiles 370;Guggenheim Aerospace 246;Stephen C Hall 102;Skiles 311;Clough UG Learning Commons 127;Swann 106;Stephen C Hall 102;Skiles 311;Skiles 354;Stephen C Hall 103;Stephen C Hall 102;Skiles 302;Skiles 308;Van Leer C456;Howey Physics N210;Skiles 368;Skiles 354;Van Leer E361;Skiles 314;Skiles 002;Skiles 354;Stephen C Hall 106;Skiles 302;TBA;TBA;TBA;Skiles 302;TBA;TBA;TBA;Skiles 302;Skiles 002,Zita Huesing (P);Christopher Michaels (P);Kaitlyn Smith (P);Cameron Winter (P);Zita Huesing (P);Renee Buesking (P);Christopher Michaels (P);;Renee Buesking (P);Michael Lehman (P);Brianna Anderson (P);Namrata Dey Roy (P);Sarah Fredericks (P);Renee Buesking (P);Christopher Michaels (P);;Sagnika Chanda (P);Michael Lehman (P);Micheal Rumore (P);Namrata Dey Roy (P);Cameron Winter (P);Brianna Anderson (P);Kaitlyn Smith (P);Micheal Rumore (P);Cameron Winter (P);Brianna Anderson (P);Namrata Dey Roy (P);Sagnika Chanda (P);Andrew Nance (P);Andrew Nance (P);Andrew Nance (P);Micheal Rumore (P);Elizabeth Miller (P);Elizabeth Miller (P);Shannon Dobranski (P);Kaitlyn Smith (P);Sarah Fredericks (P),"Develops communication skills in networked electronic environments, emphasizes interpretation and evaluation of cultural texts, and incorporates research methods in print and on the Internet.","ENGL 1102 English Composition II Develops communication skills in networked electronic environments, emphasizes interpretation and evaluation of cultural texts, and incorporates research methods in print and on the Internet."
FS 4000,Undergraduate,Foreign Studies,12,R,80650,,TBA,,Course used by students participating in an exchange program with a foreign university.,FS 4000 Foreign Studies Course used by students participating in an exchange program with a foreign university.
FS 4009,Undergraduate,Foreign Studies,0,A,81826,,,,Course used by students participating in an exchange program with a foreign univeristy.,FS 4009 Foreign Studies Course used by students participating in an exchange program with a foreign univeristy.
FS 6000,Graduate,Foreign Studies,0,R,80651,,,,Course used by students participating in an exchange program with a foreign university.,FS 6000 Foreign Studies Course used by students participating in an exchange program with a foreign university.
FS 6003,Graduate,Foreign Studies,0,R,81088,,,,Course used by students participating in an exchange program with a foreign university.,FS 6003 Foreign Studies Course used by students participating in an exchange program with a foreign university.
FS 6006,Graduate,Foreign Studies,0,R,80652,,,,Course used by students participating in an exchange program with a foreign university.,FS 6006 Foreign Studies Course used by students participating in an exchange program with a foreign university.
FREN 1001,Undergraduate,Elementary French I,3,A;B;C;D;R;R1;UA,86617;80918;81786;92787;85988;89017;81725,MWF;MWF;MWF;MWF;TR;TR;,Skiles 171;D.M. Smith 104;Cherry Emerson 204;D.M. Smith 104;TBA;TBA;TBA,Lionel Gall (P);Lionel Gall (P);Lionel Gall (P);Lionel Gall (P);Sonia Serafin (P);Sonia Serafin (P);Anne-Francoise Le Lostec (P),"An introduction to the French language and culture of the French-speaking world.  Beginning of a survey of basic French grammar and the development of the four language skills of listening, speaking, reading, and writing French. Some aspects of everyday life in the French speaking world will also be introduced.  Humanities credit awarded for FREN 1001 upon successful completion of FREN 1002 or FREN 2001.","FREN 1001 Elementary French I An introduction to the French language and culture of the French-speaking world.  Beginning of a survey of basic French grammar and the development of the four language skills of listening, speaking, reading, and writing French. Some aspects of everyday life in the French speaking world will also be introduced.  Humanities credit awarded for FREN 1001 upon successful completion of FREN 1002 or FREN 2001."
FREN 1002,Undergraduate,Elementary French II,3,A;B;C;R;UA,81920;81726;87581;86930;94000,MWF;MWF;MW;R;,Engineering Sci and Mechanics 201;D.M. Smith 15;Skiles 268;TBA;TBA,Nora Cottille-Foley (P);Nora Cottille-Foley (P);Samba Sy (P);Franck Findling (P);Anne-Francoise Le Lostec (P),The second part of an introduction to the French language and the culture of the French-speaking world. Completion of the survey of basic French grammar and further development of the four language skills. Aspects of everyday life in the French-speaking world will be introduced.,FREN 1002 Elementary French II The second part of an introduction to the French language and the culture of the French-speaking world. Completion of the survey of basic French grammar and further development of the four language skills. Aspects of everyday life in the French-speaking world will be introduced.
FREN 2001,Undergraduate,Patterns of French Culture I,3,A;B;R,86251;86195;93557,MW;MW;R,Engineering Sci and Mechanics 202;D.M. Smith 11;TBA,Samba Sy (P);Samba Sy (P);Franck Findling (P),"Proficiency-based introduction to selected sociocultural aspects of France: geography, demography, social institutions, history, art, socioeconomic problems, and current events; incorporates grammar review. Conducted in French.","FREN 2001 Patterns of French Culture I Proficiency-based introduction to selected sociocultural aspects of France: geography, demography, social institutions, history, art, socioeconomic problems, and current events; incorporates grammar review. Conducted in French."
FREN 2002,Undergraduate,Patterns of French Culture II,3,A,83444,MW,Clough UG Learning Commons 278,Samba Sy (P),"Proficiency-based introduction to selected sociocultural aspects of France: geography, demography, social institutions, history, art, socioeconomic problems, and current events; incorporates grammar review. Conducted in French.","FREN 2002 Patterns of French Culture II Proficiency-based introduction to selected sociocultural aspects of France: geography, demography, social institutions, history, art, socioeconomic problems, and current events; incorporates grammar review. Conducted in French."
FREN 3062,Undergraduate,"France: Culture, Economy and Commerce II",3,A,92875,TR,Skiles 171,Sophie Landrieux Kartochian (P),"Advanced Business French. Overview of French commerce, communications, publicity, various social milieus, and the work place. Taught in French.","FREN 3062 France: Culture, Economy and Commerce II Advanced Business French. Overview of French commerce, communications, publicity, various social milieus, and the work place. Taught in French."
FREN 3120,Undergraduate,French Conversation and Culture,3,A;R1,90132;92465,TR;R,Swann 115;TBA,Sophie Landrieux Kartochian (P);Sonia Serafin (P),"This class is designed to help students improve their French speaking skills, and use French at an advanced level. Not for beginners. Conducted in French.","FREN 3120 French Conversation and Culture This class is designed to help students improve their French speaking skills, and use French at an advanced level. Not for beginners. Conducted in French."
FREN 3420,Undergraduate,Introduction to Africa,3,A,90232,TR,Skiles 171,Christophe Ippolito (P),"This interdisciplinary course will use a variety of approaches to study significant aspects of contemporary Africa&rsquo;s societies, cultures, and representations. Taught in English.","FREN 3420 Introduction to Africa This interdisciplinary course will use a variety of approaches to study significant aspects of contemporary Africa&rsquo;s societies, cultures, and representations. Taught in English."
FREN 3500,Undergraduate,Field Work Abroad,3,R,89028,TR,TBA,Brigitte Stepanov (P),This course will focus on theme-based individual projects abroad.,FREN 3500 Field Work Abroad This course will focus on theme-based individual projects abroad.
FREN 3501,Undergraduate,Sustainable Communities in France,3,R,90301,TR,TBA,Brigitte Stepanov (P),"Examines social, cultural, artistic and environmental dimensions of sustainability and concepts of identity, diversity, social equity and inclusion/exclusion in the French context. Taught in French.","FREN 3501 Sustainable Communities in France Examines social, cultural, artistic and environmental dimensions of sustainability and concepts of identity, diversity, social equity and inclusion/exclusion in the French context. Taught in French."
FREN 3813,Undergraduate,Special Topics,3,R,88205,MW,TBA,Paul Voss (P),Permits a group of students and a professor to pursue areas of the French language not covered in other courses in the department.,FREN 3813 Special Topics Permits a group of students and a professor to pursue areas of the French language not covered in other courses in the department.
FREN 4013,Undergraduate,French Literature and the Visual Arts,3,A,92682,MW,Swann 320,Stephanie Boulard (P),"This course studies French Literature and its interrelationships with various arts (painting, music, cinema, architecture or opera), often through several periods.  Conducted in French.","FREN 4013 French Literature and the Visual Arts This course studies French Literature and its interrelationships with various arts (painting, music, cinema, architecture or opera), often through several periods.  Conducted in French."
FREN 4105,Undergraduate,Francophone Cinema,3,A,92685,TR,Cherry Emerson 320,Christophe Ippolito (P),This course will explore through films representations of Francophone regions of the world from Africa to the Caribbean. Taught in French.,FREN 4105 Francophone Cinema This course will explore through films representations of Francophone regions of the world from Africa to the Caribbean. Taught in French.
FREN 4242,Undergraduate,The French New Wave,3,A,92684,MW,Swann 325,Stephanie Boulard (P),"In-depth and concentrated study of French cinema. Particular attention devoted to the French New Wave, the development of film theory and criticism in France. Conducted in French.","FREN 4242 The French New Wave In-depth and concentrated study of French cinema. Particular attention devoted to the French New Wave, the development of film theory and criticism in France. Conducted in French."
FREN 4813,Undergraduate,Special Topics,3,R,93558,TR,TBA,Brigitte Stepanov (P),Topics of interest not covered in the regular course offerings.,FREN 4813 Special Topics Topics of interest not covered in the regular course offerings.
FREN 6013,Graduate,Literature &amp; Visual Arts,3,A,92683,MW,Swann 320,Stephanie Boulard (P),"This course examines the relationship between Word and Image (including cinema/ film adaptations, photography, hypertext, graphic design, and diverse artistic genres). Taught in French.","FREN 6013 Literature &amp; Visual Arts This course examines the relationship between Word and Image (including cinema/ film adaptations, photography, hypertext, graphic design, and diverse artistic genres). Taught in French."
FREN 6105,Graduate,Francophone Cinema,3,A,92686,TR,Cherry Emerson 320,Christophe Ippolito (P),This course will explore through films representations of Francophone regions of the world from Africa to the Caribbean. Taught in French.,FREN 6105 Francophone Cinema This course will explore through films representations of Francophone regions of the world from Africa to the Caribbean. Taught in French.
FREN 8803,Graduate,French New Wave,3,A,91190,MW,Swann 325,Stephanie Boulard (P),Topics of current interest not covered in the regular course offerings.,FREN 8803 French New Wave Topics of current interest not covered in the regular course offerings.
